UIN,Complete15under,Q1_rate_1,Q1_rate_2,Q1_rate_3,Q1_rate_4,Q1_rate_5,Q1_rate_6,Q1_rate_7,Q2_rate_1,Q2_rate_2,Q2_rate_3,Q2_rate_4,Q2_rate_5,Q2_rate_6,Q2_rate_7,Q3_rate_1,Q3_rate_2,Q3_rate_3,Q3_rate_4,Q3_rate_5,Q3_rate_6,Q3_rate_7,Q4_rate_1,Q4_rate_2,Q4_rate_3,Q4_rate_4,Q4_rate_5,Q4_rate_6,Q4_rate_7,Q5_rate_1,Q5_rate_2,Q5_rate_3,Q5_rate_4,Q5_rate_5,Q5_rate_6,Q5_rate_7,Q6_rate_1,Q6_rate_2,Q6_rate_3,Q6_rate_4,Q6_rate_5,Q6_rate_6,Q6_rate_7,Q7_rate_1,Q7_rate_2,Q7_rate_3,Q7_rate_4,Q7_rate_5,Q7_rate_6,Q7_rate_7,Q8_rate_1,Q8_rate_2,Q8_rate_3,Q8_rate_4,Q8_rate_5,Q8_rate_6,Q8_rate_7,HighTrustNetwork,HighEmoCloseNetwork,LowTrustNetwork,LowEmoCloseNetwork
11,0,100,100,100,50,50,50,90,90,90,90,40,65,75,90,100,71,70,77,85,84,71,100,80,100,50,50,50,50,100,83,82,75,65,62,74,100,85,100,80,0,50,68,100,64,100,41,33,25,50,100,50,90,50,50,50,80,100,100,97.5,83
12,0,100,100,100,100,100,100,100,50,50,50,66,100,76,50,50,50,50,50,50,50,50,100,17,86,94,35,24,30,100,100,50,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,76,50,100,100,76,100,75,71.5,62.5,50
13,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
14,1,65,71,36,40,68,66,40,62,67,33,62,59,79,64,38,62,31,69,66,46,63,68,69,36,60,65,41,63,39,61,61,43,66,63,57,31,44,35,45,43,60,67,64,70,36,35,67,75,65,42,65,34,60,71,59,63,57,35.75,45.25,39.75
15,1,68,67,68,63,62,53,78,64,61,53,53,70,65,61,70,55,73,66,70,79,56,66,64,56,75,65,70,70,65,77,74,64,67,50,60,80,76,85,69,72,75,72,73,71,68,63,71,64,65,66,74,61,68,81,74,73,71.75,69.25,66.25,65.25
16,1,86,84,72,84,74,78,73,85,82,82,81,77,92,74,94,94,83,90,87,81,91,93,93,91,75,77,76,78,88,80,88,88,91,72,75,88,81,85,85,88,84,75,93,94,90,88,88,94,82,92,87,89,94,95,81,82,90,84.5,89.75,85.5
17,1,66,67,61,66,41,46,79,73,76,64,71,46,39,76,41,43,25,70,56,61,55,66,36,66,65,51,60,41,70,62,61,66,43,67,58,71,63,70,59,45,30,44,65,66,58,63,67,42,66,61,68,59,68,39,55,72,67,63.75,61.25,52.25
18,1,63,41,65,63,26,64,57,50,50,39,32,31,29,50,32,30,31,32,20,17,28,100,61,89,50,34,31,30,82,59,56,50,43,44,59,50,50,71,70,31,29,32,50,50,61,31,22,33,43,21,43,25,50,24,23,31,65.75,71.5,46.25,37.75
19,1,0,0,0,0,0,0,0,50,50,11,59,56,59,7,30,54,8,61,71,72,13,73,74,50,5,6,8,36,80,81,56,71,75,78,31,0,0,0,0,0,0,0,56,50,42,27,50,50,50,20,36,5,31,65,64,0,32.25,23,45,20
20,1,50,50,50,50,50,50,50,3,0,5,9,9,4,4,50,50,50,50,50,50,50,50,50,50,50,50,50,50,76,72,66,35,50,62,50,50,50,50,50,50,50,50,43,42,37,25,32,46,30,50,50,50,50,50,50,50,48.25,46.75,44.75,42.75
21,1,100,100,100,100,15,25,100,95,100,90,100,100,90,100,100,100,100,100,100,21,13,7,72,8,71,76,73,11,2,75,0,75,75,75,6,82,80,83,84,85,89,98,90,92,90,23,18,12,93,100,75,95,98,42,12,88,69.75,70.25,74.25,71.25
22,1,95,86,96,85,74,79,90,94,91,90,55,50,86,93,85,85,86,73,50,77,82,89,91,92,50,50,50,88,85,94,84,91,50,50,80,79,89,83,65,50,81,80,86,85,84,78,50,74,84,85,88,83,67,50,88,82,87.25,88.75,87.25,85.75
23,1,100,100,100,100,40,39,100,100,100,100,98,100,100,100,100,69,100,39,71,100,47,100,100,100,41,28,25,24,100,100,100,50,50,50,50,100,100,100,100,100,50,42,100,100,78,82,83,69,76,83,100,83,100,91,51,26,100,94.5,95.75,95.75
24,1,100,100,100,17,0,74,100,94,71,100,18,90,22,100,100,86,86,5,17,19,80,100,100,100,0,0,0,100,86,85,95,11,62,36,100,100,79,100,21,0,0,82,100,100,100,0,73,70,89,100,76,70,23,87,69,70,100,100,95,87.75
25,1,85,85,100,92,28,61,85,80,80,8,80,70,70,10,83,84,9,81,83,82,3,80,60,20,60,70,20,0,87,13,17,92,19,13,85,85,72,0,77,78,76,0,79,81,11,77,78,7,7,89,84,100,96,0,0,81,82.25,32.75,84.75,33.5
26,1,100,100,100,100,100,100,100,100,70,100,100,100,90,100,100,80,100,100,90,75,60,100,100,100,70,95,100,75,100,100,100,100,100,100,100,100,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100
27,1,66,58,65,64,64,31,66,53,63,71,53,71,38,72,63,95,72,65,68,61,62,52,65,94,71,68,70,63,70,63,71,72,62,68,90,50,52,50,63,65,52,32,50,50,61,67,70,66,35,35,67,65,77,34,62,68,54.5,67.5,55.25,69.75
28,1,100,100,100,100,100,100,100,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,92,91,92,94,93,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.5,85.25
29,1,85,80,79,76,44,55,82,83,78,65,71,65,64,77,65,82,65,65,29,68,73,82,73,81,62,30,39,60,40,72,70,50,56,65,55,77,66,67,67,43,63,42,79,69,80,45,50,40,44,67,75,78,38,50,35,62,80.75,76.75,63.75,69.5
30,1,100,92,73,37,100,0,34,100,72,100,67,50,86,82,100,76,100,29,0,12,50,69,68,74,73,66,65,66,69,50,38,86,70,77,59,63,75,50,78,65,76,72,36,73,28,73,72,72,77,50,50,50,50,50,50,50,67,56.25,79.75,72
31,1,86,81,81,82,81,81,81,81,71,90,50,50,50,79,82,75,81,50,50,50,70,89,67,90,50,50,50,50,78,74,82,65,72,73,64,81,73,78,69,74,65,68,84,73,81,50,58,57,50,87,68,85,67,60,61,71,85,82.5,82,84.5
32,1,100,100,100,100,50,100,100,100,100,100,100,100,100,100,50,96,86,88,100,81,80,61,92,85,89,100,91,89,100,100,100,50,50,50,100,100,100,100,100,50,100,100,59,89,86,94,92,93,94,58,92,86,87,94,93,91,80,92.75,77,93
33,1,100,80,98,97,90,100,100,14,15,19,13,55,49,12,21,25,24,26,51,58,24,20,36,13,32,50,58,27,21,26,20,24,52,50,22,100,100,100,50,50,50,50,100,74,79,78,78,72,83,21,29,23,31,51,55,25,80,72.5,19.25,21.5
34,1,91,92,91,84,92,74,92,93,100,90,100,91,100,91,100,100,100,100,100,100,100,92,81,83,76,92,70,62,81,73,91,92,91,81,75,91,72,90,72,69,90,81,89,94,95,89,88,89,89,82,82,91,89,71,90,90,90.75,89.75,89,93
35,1,5,5,5,10,10,10,10,10,10,10,11,10,10,10,4,15,0,20,5,10,10,5,10,5,10,10,10,10,20,20,0,20,25,5,5,15,15,15,15,15,15,5,5,10,10,10,10,10,10,9,10,10,10,11,12,10,7.5,8.75,10.75,5
36,1,95,100,100,85,64,62,88,100,100,100,79,0,0,100,100,100,100,69,10,6,14,95,93,49,96,91,88,39,100,100,100,100,0,0,100,100,100,100,78,3,5,7,100,100,85,76,35,34,17,73,94,72,68,100,94,45,97.5,83.5,93.25,93
37,1,0,0,0,0,0,0,0,10,10,0,10,0,0,0,9,10,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,20,0,10,0,0,0,5,0,7.25,0
38,1,77,78,61,79,50,80,65,30,60,69,30,36,70,31,73,50,73,50,50,50,50,74,74,33,28,26,26,28,100,66,80,81,79,50,50,80,33,67,36,29,25,36,74,71,74,62,29,30,71,72,37,37,33,72,70,71,76.25,58.75,68.75,64.75
39,1,91,62,74,9,13,5,31,33,68,25,42,60,77,44,63,58,65,70,62,39,45,67,60,88,9,11,9,20,58,58,69,39,65,68,57,74,37,77,17,33,37,14,71,31,90,8,12,17,40,69,77,82,26,39,42,62,75.75,82.25,55.75,60.25
40,1,72,72,68,77,72,73,74,83,73,78,80,90,76,73,67,65,60,64,70,71,67,72,64,83,75,84,73,70,79,50,67,79,91,80,68,65,73,69,77,76,71,77,69,71,71,66,70,71,71,72,76,76,76,76,71,78,69.5,72.75,75.25,70.25
41,1,100,65,100,62,66,40,100,100,100,100,68,67,70,100,73,75,83,52,35,50,50,86,99,79,72,35,56,69,100,73,100,78,64,81,86,65,91,33,35,34,30,68,100,100,100,75,38,29,86,77,78,65,41,34,50,76,87.75,78,87.5,87
42,1,100,75,100,30,16,29,32,76,68,91,79,29,63,97,93,77,99,59,12,10,13,100,78,100,12,11,11,0,95,42,81,63,24,22,64,81,60,93,67,27,23,65,89,38,77,77,28,36,56,100,69,95,26,24,20,71,92.5,92.5,91,91.5
